"vaccine","geography_type","geography","fips","year_season","month","dimension_type","dimension","coverage_estimate","X_95_ci","population_sample_size"
"Seasonal Influenza","States/Local Areas","Ohio","39","2023-24","5","Age","13-17 Years",47.4,"42.3 to 52.5","666"
"Seasonal Influenza","States/Local Areas","Vermont","50","2023-24","5","Age","13-17 Years",55.5,"42.7 to 68.3","337"
"Seasonal Influenza","States/Local Areas","Montana","30","2023-24","5","Age","13-17 Years",31.8,"26.0 to 37.6","691"
"Seasonal Influenza","States/Local Areas","Iowa","19","2023-24","5","Age","13-17 Years",46.6,"39.5 to 53.7","396"
"Seasonal Influenza","States/Local Areas","Kentucky","21","2023-24","5","Age","13-17 Years",37.5,"31.0 to 44.0","506"
"Seasonal Influenza","States/Local Areas","Arkansas","05","2023-24","5","Age","13-17 Years",45.1,"38.1 to 52.1","594"
"Seasonal Influenza","States/Local Areas","Connecticut","09","2023-24","5","Age","13-17 Years",60.2,"53.4 to 67.0","359"
"Seasonal Influenza","States/Local Areas","California","06","2023-24","5","Age","13-17 Years",55.8,"51.4 to 60.2","921"
"Seasonal Influenza","States/Local Areas","Rhode Island","44","2023-24","5","Age","13-17 Years",55.3,"46.0 to 64.6","290"
"Seasonal Influenza","States/Local Areas","South Dakota","46","2023-24","5","Age","13-17 Years",42.4,"34.9 to 49.9","496"
"Seasonal Influenza","States/Local Areas","Wyoming","56","2023-24","5","Age","13-17 Years",29.6,"22.6 to 36.6","626"
"Seasonal Influenza","States/Local Areas","Massachusetts","25","2023-24","5","Age","13-17 Years",69.6,"64.4 to 74.8","649"
"Seasonal Influenza","States/Local Areas","Kansas","20","2023-24","5","Age","13-17 Years",34.8,"28.6 to 41.0","512"
"Seasonal Influenza","States/Local Areas","Michigan","26","2023-24","5","Age","13-17 Years",43.1,"36.9 to 49.3","404"
"Seasonal Influenza","States/Local Areas","New York","36","2023-24","5","Age","13-17 Years",57,"52.7 to 61.3","1216"
"Seasonal Influenza","States/Local Areas","Tennessee","47","2023-24","5","Age","13-17 Years",43.8,"37.4 to 50.2","425"
"Seasonal Influenza","States/Local Areas","North Dakota","38","2023-24","5","Age","13-17 Years",40.2,"32.2 to 48.2","465"
"Seasonal Influenza","States/Local Areas","Delaware","10","2023-24","5","Age","13-17 Years",55.1,"47.9 to 62.3","673"
"Seasonal Influenza","States/Local Areas","New Mexico","35","2023-24","5","Age","13-17 Years",47.7,"41.3 to 54.1","606"
"Seasonal Influenza","States/Local Areas","Washington","53","2023-24","5","Age","13-17 Years",50.3,"44.2 to 56.4","476"
"Seasonal Influenza","States/Local Areas","Florida","12","2023-24","5","Age","13-17 Years",37.1,"32.2 to 42.0","589"
"Seasonal Influenza","States/Local Areas","Alaska","02","2023-24","5","Age","13-17 Years",36.5,"28.7 to 44.3","396"
"Seasonal Influenza","States/Local Areas","Utah","49","2023-24","5","Age","13-17 Years",41.5,"34.6 to 48.4","309"
"Seasonal Influenza","States/Local Areas","Virginia","51","2023-24","5","Age","13-17 Years",53.1,"47.9 to 58.3","809"
"Seasonal Influenza","States/Local Areas","Illinois","17","2023-24","5","Age","13-17 Years",45.4,"41.4 to 49.4","1475"
"Seasonal Influenza","States/Local Areas","West Virginia","54","2023-24","5","Age","13-17 Years",41.3,"33.7 to 48.9","728"
"Seasonal Influenza","States/Local Areas","Arizona","04","2023-24","5","Age","13-17 Years",41.1,"34.8 to 47.4","700"
"Seasonal Influenza","States/Local Areas","Maryland","24","2023-24","5","Age","13-17 Years",63.5,"57.2 to 69.8","864"
"Seasonal Influenza","States/Local Areas","South Carolina","45","2023-24","5","Age","13-17 Years",37.9,"32.3 to 43.5","774"
"Seasonal Influenza","States/Local Areas","Hawaii","15","2023-24","5","Age","13-17 Years",57.1,"49.3 to 64.9","742"
"Seasonal Influenza","States/Local Areas","Missouri","29","2023-24","5","Age","13-17 Years",45.4,"39.2 to 51.6","455"
"Seasonal Influenza","States/Local Areas","Mississippi","28","2023-24","5","Age","13-17 Years",29.6,"23.2 to 36.0","532"
"Seasonal Influenza","States/Local Areas","Alabama","01","2023-24","5","Age","13-17 Years",40.4,"35.4 to 45.4","806"
"Seasonal Influenza","States/Local Areas","Pennsylvania","42","2023-24","5","Age","13-17 Years",45.7,"41.5 to 49.9","1284"
"Seasonal Influenza","States/Local Areas","New Jersey","34","2023-24","5","Age","13-17 Years",56.7,"51.1 to 62.3","782"
"Seasonal Influenza","States/Local Areas","Georgia","13","2023-24","5","Age","13-17 Years",37.5,"31.3 to 43.7","419"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2023-24","5","Age","13-17 Years",50.4,"43.3 to 57.5","597"
"Seasonal Influenza","States/Local Areas","Maine","23","2023-24","5","Age","13-17 Years",59,"52.6 to 65.4","587"
"Seasonal Influenza","States/Local Areas","Indiana","18","2023-24","5","Age","13-17 Years",38.5,"33.5 to 43.5","650"
"Seasonal Influenza","States/Local Areas","Wisconsin","55","2023-24","5","Age","13-17 Years",53.9,"44.9 to 62.9","500"
"Seasonal Influenza","States/Local Areas","Louisiana","22","2023-24","5","Age","13-17 Years",35.7,"30.0 to 41.4","606"
"Seasonal Influenza","States/Local Areas","Oklahoma","40","2023-24","5","Age","13-17 Years",37.7,"32.0 to 43.4","596"
"Seasonal Influenza","States/Local Areas","Idaho","16","2023-24","5","Age","13-17 Years",32,"24.0 to 40.0","413"
