"vaccine","dose","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","X_95_ci","population_sample_size"
"≥1 Dose MenACWY","","States/Local Areas","New York","2023","Age","13-17 Years",95.3,"92.7 to 97.0","559"
"≥1 Dose MenACWY","","States/Local Areas","New Hampshire","2023","Age","13-17 Years",93.4,"89.1 to 96.1","273"
"≥1 Dose MenACWY","","States/Local Areas","Nebraska","2023","Age","13-17 Years",92.2,"88.1 to 95.0","272"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2023","Age","13-17 Years",91.4,"86.8 to 94.5","325"
"≥1 Dose MenACWY","","States/Local Areas","Mississippi","2023","Age","13-17 Years",62.9,"55.2 to 69.9","243"
"≥1 Dose MenACWY","","States/Local Areas","Oklahoma","2023","Age","13-17 Years",74.3,"67.7 to 79.9","281"
"≥1 Dose MenACWY","","States/Local Areas","Missouri","2023","Age","13-17 Years",88,"81.8 to 92.3","246"
"≥1 Dose MenACWY","","States/Local Areas","Maine","2023","Age","13-17 Years",92.6,"88.2 to 95.4","322"
"≥1 Dose MenACWY","","States/Local Areas","Kansas","2023","Age","13-17 Years",90.7,"85.7 to 94.0","373"
"≥1 Dose MenACWY","","States/Local Areas","Alabama","2023","Age","13-17 Years",86.7,"81.8 to 90.4","335"
"≥1 Dose MenACWY","","States/Local Areas","Tennessee","2023","Age","13-17 Years",85.7,"79.3 to 90.4","248"
"≥1 Dose MenACWY","","States/Local Areas","California","2023","Age","13-17 Years",85,"78.7 to 89.6","266"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2023","Age","13-17 Years",84,"77.5 to 88.9","297"
"≥1 Dose MenACWY","","States/Local Areas","Delaware","2023","Age","13-17 Years",89,"83.5 to 92.9","293"
"≥1 Dose MenACWY","","States/Local Areas","Texas","2023","Age","13-17 Years",85.5,"80.1 to 89.7","872"
"≥1 Dose MenACWY","","States/Local Areas","Virginia","2023","Age","13-17 Years",87.5,"81.1 to 91.9","319"
"≥1 Dose MenACWY","","States/Local Areas","Wyoming","2023","Age","13-17 Years",78.3,"72.2 to 83.3","314"
"≥1 Dose MenACWY","","States/Local Areas","Arkansas","2023","Age","13-17 Years",94.5,"90.5 to 96.8","333"
"≥1 Dose MenACWY","","States/Local Areas","Georgia","2023","Age","13-17 Years",91.6,"84.8 to 95.5","212"
"≥1 Dose MenACWY","","States/Local Areas","South Dakota","2023","Age","13-17 Years",91.1,"85.4 to 94.7","275"
"≥1 Dose MenACWY","","States/Local Areas","Connecticut","2023","Age","13-17 Years",97.3,"92.1 to 99.1","155"
"≥1 Dose MenACWY","","States/Local Areas","Hawaii","2023","Age","13-17 Years",85.9,"80.5 to 89.9","278"
"≥1 Dose MenACWY","","States/Local Areas","Oregon","2023","Age","13-17 Years",83.3,"77.2 to 88.0","300"
"≥1 Dose MenACWY","","States/Local Areas","Rhode Island","2023","Age","13-17 Years",96.4,"90.2 to 98.7","201"
"≥1 Dose MenACWY","","States/Local Areas","Nevada","2023","Age","13-17 Years",84.1,"77.7 to 88.9","325"
"≥1 Dose MenACWY","","States/Local Areas","Michigan","2023","Age","13-17 Years",93.5,"87.7 to 96.7","249"
